step_org_150MR1bgr, cross_entropy_org_150MR1bgr, loss_org_150MR1bgr, train_accuracy_org_150MR1bgr,step_org_150MR1brg, cross_entropy_org_150MR1brg, loss_org_150MR1brg, train_accuracy_org_150MR1brg,step_org_150MR1gbr, cross_entropy_org_150MR1gbr, loss_org_150MR1gbr, train_accuracy_org_150MR1gbr,step_org_150MR1grb, cross_entropy_org_150MR1grb, loss_org_150MR1grb, train_accuracy_org_150MR1grb,step_org_150MR1rbg, cross_entropy_org_150MR1rbg, loss_org_150MR1rbg, train_accuracy_org_150MR1rbg,step_org_150MR1rgb, cross_entropy_org_150MR1rgb, loss_org_150MR1rgb, train_accuracy_org_150MR1rgb
5101,0.0106357,0.215135,0.984375,5101,0.0166413,0.22452,0.989062,5101,0.00689086,0.213218,0.990625,5101,0.0045076,0.208926,0.992188,5101,0.00238337,0.207493,0.992188,5101,0.0103994,0.217298,0.995313
5171,0.0347151,0.238692,0.992188,5171,0.0194495,0.226794,0.992188,5171,0.00993921,0.215735,1.0,5171,0.014968,0.218862,0.992188,5171,0.00627655,0.210853,1.0,5171,0.00707099,0.213436,1.0
5271,0.00501803,0.208256,0.996094,5271,0.00346305,0.210055,0.996094,5271,0.00277513,0.207818,1.0,5271,0.0023449,0.205503,0.996094,5271,0.00296001,0.20679,1.0,5271,0.00448133,0.210096,1.0
5371,0.0140469,0.216543,0.994792,5371,0.0210434,0.226881,0.994792,5371,0.0051604,0.20945,1.0,5371,0.0239013,0.226318,0.994792,5371,0.0110769,0.214156,1.0,5371,0.00618733,0.211048,1.0
5471,0.00582732,0.207586,0.996094,5471,0.00443301,0.209518,0.996094,5471,0.00150154,0.205037,1.0,5471,0.00289103,0.204571,0.996094,5471,0.00222962,0.204557,1.0,5471,0.00272011,0.206828,1.0
5571,0.00509717,0.206116,0.996875,5571,0.00624993,0.210578,0.996875,5571,0.00306702,0.205844,1.0,5571,0.00260104,0.203537,0.996875,5571,0.00177498,0.20335,1.0,5571,0.00522281,0.208571,1.0
5641,0.0171057,0.217598,1.0,5641,0.00626257,0.210055,1.0,5641,0.006381,0.208625,1.0,5641,0.00828683,0.208697,1.0,5641,0.00481271,0.205856,1.0,5641,0.00411781,0.206931,1.0
5741,0.00330015,0.203053,1.0,5741,0.0022491,0.205287,1.0,5741,0.00201555,0.203506,1.0,5741,0.00173773,0.201409,1.0,5741,0.00188707,0.202183,1.0,5741,0.00287905,0.204941,1.0
5841,0.00816185,0.207173,1.0,5841,0.00891985,0.211204,0.997396,5841,0.00324671,0.203985,1.0,5841,0.0145119,0.213441,0.997396,5841,0.00723909,0.206787,1.0,5841,0.00367744,0.204985,1.0
5941,0.00375848,0.202032,1.0,5941,0.00274,0.204273,0.998047,5941,0.00114217,0.201129,1.0,5941,0.00213544,0.200328,0.998047,5941,0.00171452,0.200515,1.0,5941,0.00197118,0.202528,1.0
6041,0.00389325,0.201428,1.0,6041,0.00377095,0.204549,0.998438,6041,0.00229314,0.201526,1.0,6041,0.00183118,0.199283,0.998438,6041,0.00147089,0.199524,1.0,6041,0.00356072,0.203363,1.0
6111,0.00938353,0.206396,1.0,6111,0.00466343,0.20491,1.0,6111,0.00504812,0.203753,1.0,6111,0.00492481,0.201854,1.0,6111,0.00378338,0.201309,1.0,6111,0.00316767,0.202439,1.0
6211,0.00262962,0.198906,1.0,6211,0.00170551,0.201203,1.0,6211,0.00164358,0.199601,1.0,6211,0.00146196,0.197657,1.0,6211,0.00150527,0.19829,1.0,6211,0.0022849,0.20081,1.0
6311,0.00596612,0.201506,1.0,6311,0.00444168,0.203191,1.0,6311,0.00242675,0.199639,1.0,6311,0.00960346,0.205062,1.0,6311,0.0052184,0.201262,1.0,6311,0.00275578,0.200534,1.0
6411,0.00282022,0.197627,1.0,6411,0.00192488,0.199928,1.0,6411,0.000965753,0.197434,1.0,6411,0.0017222,0.19645,1.0,6411,0.00146111,0.196765,1.0,6411,0.00161266,0.198647,1.0
6511,0.00315264,0.197227,1.0,6511,0.0029004,0.200156,1.0,6511,0.00187333,0.197596,1.0,6511,0.00148634,0.19548,1.0,6511,0.00127936,0.195844,1.0,6511,0.00281204,0.1991,1.0
6581,0.00703992,0.200598,1.0,6581,0.00378886,0.200519,1.0,6581,0.00422924,0.19943,1.0,6581,0.003396,0.196873,1.0,6581,0.00317934,0.197223,1.0,6581,0.00260111,0.198365,1.0
6681,0.00217477,0.195003,1.0,6681,0.00143008,0.19742,1.0,6681,0.0014287,0.195892,1.0,6681,0.00130841,0.194059,1.0,6681,0.00129772,0.194609,1.0,6681,0.00196047,0.196987,1.0
6781,0.00481072,0.196911,1.0,6781,0.00290281,0.198152,1.0,6781,0.00199472,0.195722,1.0,6781,0.00709877,0.199122,1.0,6781,0.00418419,0.196764,1.0,6781,0.00227742,0.196566,1.0
6881,0.00227305,0.193649,1.0,6881,0.00152185,0.196034,1.0,6881,0.00085646,0.193849,1.0,6881,0.00147099,0.192771,1.0,6881,0.00130043,0.19315,1.0,6881,0.00138832,0.194942,1.0
6981,0.00269576,0.193347,1.0,6981,0.00242263,0.196196,1.0,6981,0.00161989,0.193877,1.0,6981,0.00128694,0.191862,1.0,6981,0.00115102,0.192271,1.0,6981,0.00236116,0.195178,1.0
