step_originalData, cross_entropy_originalData, loss_originalData, train_accuracy_originalData,step_rotate90, cross_entropy_rotate90, loss_rotate90, train_accuracy_rotate90,step_rotate90transpose, cross_entropy_rotate90transpose, loss_rotate90transpose, train_accuracy_rotate90transpose,step_rotate180, cross_entropy_rotate180, loss_rotate180, train_accuracy_rotate180,step_rotate180transpose, cross_entropy_rotate180transpose, loss_rotate180transpose, train_accuracy_rotate180transpose,step_rotate270, cross_entropy_rotate270, loss_rotate270, train_accuracy_rotate270,step_rotate270transpose, cross_entropy_rotate270transpose, loss_rotate270transpose, train_accuracy_rotate270transpose,step_transpose, cross_entropy_transpose, loss_transpose, train_accuracy_transpose
4231,0.070912,0.28262,0.976563,4231,0.0711976,0.294192,0.976563,4231,0.149672,0.360804,0.945313,4231,0.0861359,0.298256,0.976563,4231,0.0991682,0.321184,0.960938,4231,0.0830776,0.305224,0.960938,4231,0.0815982,0.294296,0.96875,4231,0.0892218,0.309456,0.984375
4331,0.0154453,0.226103,0.988281,4331,0.0601365,0.282721,0.972656,4331,0.0343009,0.245213,0.972656,4331,0.0402352,0.251718,0.984375,4331,0.0708507,0.292687,0.976563,4331,0.0644019,0.286474,0.972656,4331,0.0639251,0.276762,0.972656,4331,0.0550088,0.276653,0.984375
4431,0.110941,0.320484,0.984375,4431,0.0510023,0.273161,0.976563,4431,0.0792668,0.288929,0.973958,4431,0.038295,0.249148,0.986979,4431,0.102,0.323068,0.973958,4431,0.0864592,0.308396,0.973958,4431,0.0867399,0.298941,0.976563,4431,0.138746,0.359817,0.96875
4531,0.140983,0.350649,0.978516,4531,0.0933139,0.314869,0.976563,4531,0.0711844,0.281478,0.970703,4531,0.106568,0.317721,0.980469,4531,0.0996374,0.320255,0.970703,4531,0.0360571,0.257673,0.976563,4531,0.109458,0.319784,0.970703,4531,0.0912881,0.312561,0.96875
4631,0.0880968,0.298381,0.979688,4631,0.0418533,0.26435,0.979688,4631,0.0869264,0.296286,0.970312,4631,0.0672174,0.278159,0.979688,4631,0.120974,0.342415,0.965625,4631,0.0758717,0.297229,0.978125,4631,0.0470988,0.258408,0.971875,4631,0.0441354,0.265396,0.975
4701,0.0348978,0.244688,0.984375,4701,0.092536,0.314505,0.96875,4701,0.17504,0.38418,0.953125,4701,0.192579,0.402408,0.929688,4701,0.170094,0.391394,0.945313,4701,0.115822,0.336431,0.953125,4701,0.119795,0.330671,0.960938,4701,0.121437,0.341824,0.945313
4801,0.0169004,0.226023,0.992188,4801,0.0226229,0.243902,0.976563,4801,0.0207113,0.229197,0.972656,4801,0.00995103,0.219111,0.964844,4801,0.0153717,0.235973,0.972656,4801,0.0121799,0.232097,0.972656,4801,0.0297499,0.23998,0.972656,4801,0.010511,0.230224,0.972656
4901,0.0169286,0.225319,0.992188,4901,0.0133776,0.233885,0.984375,4901,0.0187552,0.226513,0.981771,4901,0.00702642,0.215452,0.976563,4901,0.0247054,0.244535,0.979167,4901,0.0262746,0.245418,0.979167,4901,0.0341016,0.243603,0.979167,4901,0.0237257,0.242674,0.979167
5001,0.00551397,0.213165,0.994141,5001,0.00573892,0.225465,0.988281,5001,0.00589762,0.21292,0.986328,5001,0.0336344,0.241312,0.980469,5001,0.005759,0.224806,0.984375,5001,0.00714771,0.225508,0.984375,5001,0.00619232,0.214953,0.984375,5001,0.00843169,0.226602,0.984375
5101,0.0103994,0.217298,0.995313,5101,0.00945771,0.228396,0.990625,5101,0.00323527,0.20951,0.989062,5101,0.00301153,0.209934,0.984375,5101,0.00189498,0.220148,0.9875,5101,0.00381853,0.221388,0.9875,5101,0.00287135,0.210884,0.9875,5101,0.0271302,0.244508,0.985937
5171,0.00707099,0.213436,1.0,5171,0.0134839,0.231858,0.992188,5171,0.00507896,0.210821,1.0,5171,0.0339858,0.240374,0.984375,5171,0.008165,0.225852,1.0,5171,0.00691485,0.22392,1.0,5171,0.0149877,0.222467,1.0,5171,0.0069425,0.223757,1.0
5271,0.00448133,0.210096,1.0,5271,0.00443628,0.222017,0.996094,5271,0.00917794,0.214173,1.0,5271,0.00572772,0.211365,0.992188,5271,0.00608737,0.222982,1.0,5271,0.00293882,0.21915,1.0,5271,0.00709846,0.21383,1.0,5271,0.00325584,0.219283,1.0
5371,0.00618733,0.211048,1.0,5371,0.00361645,0.220402,0.997396,5371,0.00611024,0.210357,1.0,5371,0.00264731,0.20753,0.994792,5371,0.0116247,0.227728,0.997396,5371,0.0100197,0.225435,0.997396,5371,0.016078,0.222057,0.997396,5371,0.00870817,0.223947,1.0
5471,0.00272011,0.206828,1.0,5471,0.00259222,0.218581,0.998047,5471,0.00325047,0.206749,1.0,5471,0.0100014,0.214129,0.994141,5471,0.00299318,0.218303,0.998047,5471,0.0018874,0.216507,0.998047,5471,0.003681,0.208906,0.998047,5471,0.00291555,0.217362,1.0
5571,0.00522281,0.208571,1.0,5571,0.00520091,0.220391,0.998438,5571,0.00205554,0.204798,1.0,5571,0.00190752,0.205278,0.995313,5571,0.00121465,0.215725,0.998438,5571,0.00251031,0.216333,0.998438,5571,0.00196943,0.20644,0.998438,5571,0.00281305,0.216462,1.0
5641,0.00411781,0.206931,1.0,5641,0.0078034,0.222427,1.0,5641,0.00444138,0.20665,1.0,5641,0.0221792,0.225015,0.992188,5641,0.00426885,0.218213,1.0,5641,0.00435931,0.217618,1.0,5641,0.00903055,0.212965,1.0,5641,0.00425884,0.217345,1.0
5741,0.00287905,0.204941,1.0,5741,0.0034212,0.217249,1.0,5741,0.00531325,0.206771,1.0,5741,0.00349974,0.205585,0.996094,5741,0.00428435,0.217435,1.0,5741,0.00250631,0.214971,1.0,5741,0.00425398,0.207436,1.0,5741,0.00243229,0.214729,1.0
5841,0.00367744,0.204985,1.0,5841,0.00258413,0.215618,1.0,5841,0.00391171,0.20462,1.0,5841,0.00200926,0.203342,0.997396,5841,0.00690764,0.219266,1.0,5841,0.00579474,0.217465,1.0,5841,0.00863759,0.211066,1.0,5841,0.00585501,0.217361,1.0
5941,0.00197118,0.202528,1.0,5941,0.00189509,0.214133,1.0,5941,0.00237282,0.202333,1.0,5941,0.00335127,0.203932,0.998047,5941,0.00230144,0.213869,1.0,5941,0.00123043,0.212108,1.0,5941,0.0026583,0.204334,1.0,5941,0.00223196,0.212947,1.0
6041,0.00356072,0.203363,1.0,6041,0.00359774,0.21504,1.0,6041,0.0016421,0.200851,1.0,6041,0.00152905,0.201357,0.998438,6041,0.00100263,0.211776,1.0,6041,0.00193507,0.21202,1.0,6041,0.00157737,0.2025,1.0,6041,0.00204727,0.211969,1.0
6111,0.00316767,0.202439,1.0,6111,0.00519094,0.216072,1.0,6111,0.00384311,0.202522,1.0,6111,0.0170245,0.216323,0.992188,6111,0.00329716,0.21351,1.0,6111,0.00338591,0.212911,1.0,6111,0.00692174,0.207313,1.0,6111,0.00313515,0.212499,1.0
6211,0.0022849,0.20081,1.0,6211,0.00257283,0.212663,1.0,6211,0.00398855,0.201922,1.0,6211,0.00278777,0.201341,0.996094,6211,0.00332788,0.212753,1.0,6211,0.00221526,0.210953,1.0,6211,0.00320187,0.202845,1.0,6211,0.00178315,0.210363,1.0
6311,0.00275578,0.200534,1.0,6311,0.00208212,0.211384,1.0,6311,0.00297526,0.200166,1.0,6311,0.00167821,0.199487,0.997396,6311,0.00471736,0.213357,1.0,6311,0.00395105,0.211902,1.0,6311,0.00565741,0.204552,1.0,6311,0.00424695,0.212042,1.0
6411,0.00161266,0.198647,1.0,6411,0.00154248,0.210057,1.0,6411,0.0018969,0.198346,1.0,6411,0.00220585,0.19927,0.998047,6411,0.00193317,0.209789,1.0,6411,0.000957496,0.208123,1.0,6411,0.0021596,0.200308,1.0,6411,0.0017717,0.208782,1.0
6511,0.00281204,0.1991,1.0,6511,0.00277599,0.210502,1.0,6511,0.00139119,0.197097,1.0,6511,0.00131812,0.197638,0.998438,6511,0.000893371,0.207964,1.0,6511,0.00159173,0.207973,1.0,6511,0.00137239,0.198775,1.0,6511,0.00175291,0.207978,1.0
6581,0.00260111,0.198365,1.0,6581,0.00401675,0.211188,1.0,6581,0.00331941,0.198501,1.0,6581,0.0137217,0.209519,0.992188,6581,0.00272072,0.209238,1.0,6581,0.00283676,0.208665,1.0,6581,0.00577037,0.202647,1.0,6581,0.00255457,0.208229,1.0
6681,0.00196047,0.196987,1.0,6681,0.0021451,0.208535,1.0,6681,0.00326172,0.197707,1.0,6681,0.00244504,0.197506,0.996094,6681,0.00272453,0.208463,1.0,6681,0.00200175,0.207052,1.0,6681,0.00261451,0.198751,1.0,6681,0.00140299,0.206301,1.0
6781,0.00227742,0.196566,1.0,6781,0.0017895,0.2074,1.0,6781,0.00243268,0.196143,1.0,6781,0.00142511,0.19575,0.997396,6781,0.00352239,0.208485,1.0,6781,0.00299497,0.207267,1.0,6781,0.00423374,0.199631,1.0,6781,0.00335036,0.207473,1.0
6881,0.00138832,0.194942,1.0,6881,0.00133357,0.206166,1.0,6881,0.00159137,0.194569,1.0,6881,0.00170553,0.195296,0.998047,6881,0.00169667,0.205885,1.0,6881,0.000794198,0.204291,1.0,6881,0.00186478,0.196523,1.0,6881,0.00146745,0.204815,1.0
6981,0.00236116,0.195178,1.0,6981,0.00227575,0.206331,1.0,6981,0.00122231,0.193466,1.0,6981,0.00118897,0.194046,0.998438,6981,0.000818448,0.204231,1.0,6981,0.00138279,0.204105,1.0,6981,0.00124934,0.195172,1.0,6981,0.00157541,0.204148,1.0
