step_org_150MR1bgr, cross_entropy_org_150MR1bgr, loss_org_150MR1bgr, train_accuracy_org_150MR1bgr,step_org_150MR1brg, cross_entropy_org_150MR1brg, loss_org_150MR1brg, train_accuracy_org_150MR1brg,step_org_150MR1grb, cross_entropy_org_150MR1grb, loss_org_150MR1grb, train_accuracy_org_150MR1grb,step_org_150MR1gbr, cross_entropy_org_150MR1gbr, loss_org_150MR1gbr, train_accuracy_org_150MR1gbr,step_org_150MR1rbg, cross_entropy_org_150MR1rbg, loss_org_150MR1rbg, train_accuracy_org_150MR1rbg,step_org_150MR1rgb, cross_entropy_org_150MR1rgb, loss_org_150MR1rgb, train_accuracy_org_150MR1rgb
4217,0.00255644,0.213839,1.0,4217,0.00221691,0.21283,1.0,4217,0.00282064,0.212992,1.0,4217,0.00202464,0.213478,1.0,4217,0.00269741,0.214186,1.0,4217,0.00226093,0.212508,1.0
4317,0.00183997,0.213045,1.0,4317,0.0020372,0.212572,1.0,4317,0.00193936,0.212034,1.0,4317,0.00204484,0.21342,1.0,4317,0.00161255,0.213023,1.0,4317,0.00192154,0.212091,1.0
4417,0.00244714,0.213574,1.0,4417,0.00222147,0.212679,1.0,4417,0.002401,0.212418,1.0,4417,0.00277139,0.214069,1.0,4417,0.00237871,0.213711,1.0,4417,0.00226711,0.212359,1.0
4460,0.00207669,0.21317,1.0,4460,0.00201204,0.212436,1.0,4460,0.00171833,0.211702,1.0,4460,0.00202126,0.213285,1.0,4460,0.00229555,0.213594,1.0,4460,0.00187533,0.211934,1.0
4560,0.00250985,0.213525,1.0,4560,0.00219342,0.212539,1.0,4560,0.0027783,0.212684,1.0,4560,0.00199496,0.21318,1.0,4560,0.00264219,0.213862,1.0,4560,0.00222463,0.212206,1.0
4660,0.00182935,0.212766,1.0,4660,0.0020244,0.212293,1.0,4660,0.00191802,0.211747,1.0,4660,0.00201339,0.21312,1.0,4660,0.00160465,0.212747,1.0,4660,0.00191069,0.211814,1.0
4760,0.00243527,0.213294,1.0,4760,0.00220856,0.212399,1.0,4760,0.00238562,0.212137,1.0,4760,0.00274912,0.213778,1.0,4760,0.00235978,0.213424,1.0,4760,0.00225135,0.212077,1.0
4803,0.00205685,0.212882,1.0,4803,0.00199518,0.212152,1.0,4803,0.00170679,0.211425,1.0,4803,0.00199153,0.212986,1.0,4803,0.00227211,0.213303,1.0,4803,0.00185994,0.211652,1.0
4903,0.00247464,0.213222,1.0,4903,0.00217166,0.212251,1.0,4903,0.00274231,0.212383,1.0,4903,0.00197207,0.212889,1.0,4903,0.00259975,0.213552,1.0,4903,0.00219551,0.21191,1.0
5003,0.00181675,0.212486,1.0,5003,0.00201119,0.212013,1.0,5003,0.00189992,0.211463,1.0,5003,0.00198519,0.212824,1.0,5003,0.00159517,0.21247,1.0,5003,0.00189852,0.211536,1.0
5103,0.00242102,0.213012,1.0,5103,0.00219637,0.21212,1.0,5103,0.00236945,0.211855,1.0,5103,0.00272532,0.213486,1.0,5103,0.0023414,0.213138,1.0,5103,0.00223524,0.211795,1.0
